City dist,g_code,j_code,Center Name,State,Dist_coll,Dist_magis,sp,is_w1,is_w2,is_JAM
Bapatla,7101,,iON Digital Zone iDZ Nayanipalli Village Center-1,Andhra Pradesh,Chirala,Chirala,Chirala,Y,Y,N
Chittoor,7104,,Sri Venkateswara College of Engineering and Technology Chittoor,Andhra Pradesh,Chittoor,Chittoor,Chittoor,Y,Y,N
Guntur,7105,,iON Digital Zone iDZ Challavaripalem,Andhra Pradesh,Guntur,Guntur,Guntur,Y,Y,N
Guntur,7106,,iON Digital Zone iDZ Perecherla,Andhra Pradesh,Guntur,Guntur,Guntur,Y,Y,N
Guntur,7107,,Chebrolu Engineering College,Andhra Pradesh,Guntur,Guntur,Guntur,Y,Y,N
Kadapa,7113,,Annamacharya Institute of Technology and Sciences - Kadapa,Andhra Pradesh,Kadapa,Kadapa,Kadapa,Y,Y,N
Kadapa,7114,,Chaitanya Bharathi Institute of Technology - Proddatur,Andhra Pradesh,Kadapa,Kadapa,Proddatur,Y,Y,N
Nellore,7117,,iON Digital Zone iDZ Pottepalem Village,Andhra Pradesh,Nellore,Nellore,Nellore,Y,Y,N
Prakasam,7119,,QIS College of Engineering and Technology,Andhra Pradesh,Prakasam,Prakasam,Ongole,Y,Y,N
Prakasam,7120,,RISE Krishna Sai Gandhi Group of Institutions,Andhra Pradesh,Prakasam,Prakasam,Ongole,Y,Y,N
